Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_segment_R atrium	1: RTSTRUCT: ANON_segment_L temporal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10
diagnostics	Configuration	Settings	"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}"	"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}"
diagnostics	Configuration	EnabledImageTypes	"{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}"	"{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}"
diagnostics	Image-original	Hash	e44cabafd7f6d1298ae9dbb349b73169562a8f2f	e44cabafd7f6d1298ae9dbb349b73169562a8f2f
diagnostics	Image-original	Dimensionality	3D	3D
diagnostics	Image-original	Spacing	"(1.015625, 1.015625, 1.1069518716577809)"	"(1.015625, 1.015625, 1.1069518716577809)"
diagnostics	Image-original	Size	"(256, 256, 188)"	"(256, 256, 188)"
diagnostics	Image-original	Mean	67.62168925	67.62168925
diagnostics	Image-original	Minimum	0	0
diagnostics	Image-original	Maximum	989	989
diagnostics	Mask-original	Hash	98a207c02cd04a71f2f8fdec2618be66b16b02f0	6b7cd24a5d8599904c04ec672a534be2cbcdd701
diagnostics	Mask-original	Spacing	"(1.015625, 1.015625, 1.1069518716577809)"	"(1.015625, 1.015625, 1.1069518716577809)"
diagnostics	Mask-original	Size	"(256, 256, 188)"	"(256, 256, 188)"
diagnostics	Mask-original	BoundingBox	"(93, 155, 106, 28, 29, 30)"	"(160, 158, 95, 6, 8, 5)"
diagnostics	Mask-original	VoxelNum	9905	149
diagnostics	Mask-original	VolumeNum	1	1
diagnostics	Mask-original	CenterOfMassIndex	"(105.48389702170621, 169.8849066128218, 121.15638566380616)"	"(162.41610738255034, 161.15436241610738, 97.05369127516778)"
diagnostics	Mask-original	CenterOfMass	"(-26.460689571364554, 40.529673000591714, 7.768243333432125)"	"(31.361086576411196, 31.662714051086766, -18.912279332066618)"
diagnostics	Image-interpolated	Spacing	"(1.0, 1.0, 1.0)"	"(1.0, 1.0, 1.0)"
diagnostics	Image-interpolated	Size	"(41, 42, 45)"	"(19, 21, 18)"
diagnostics	Image-interpolated	Mean	146.776334	118.4486307
diagnostics	Image-interpolated	Minimum	-48.20427412	-33.14491083
diagnostics	Image-interpolated	Maximum	339.0655234	305.8169835
diagnostics	Mask-interpolated	Spacing	"(1.0, 1.0, 1.0)"	"(1.0, 1.0, 1.0)"
diagnostics	Mask-interpolated	Size	"(41, 42, 45)"	"(19, 21, 18)"
diagnostics	Mask-interpolated	BoundingBox	"(6, 6, 6, 29, 30, 34)"	"(6, 6, 6, 7, 9, 6)"
diagnostics	Mask-interpolated	VoxelNum	11590	218
diagnostics	Mask-interpolated	VolumeNum	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	"(19.1106988783434, 21.444176013805006, 23.054702329594477)"	"(9.29816513761468, 9.596330275229358, 8.472477064220184)"
diagnostics	Mask-interpolated	CenterOfMass	"(-26.48988610569102, 40.42667823574943, 7.655181853355554)"	"(31.69758015362357, 31.578832497458716, -18.927043412018737)"
diagnostics	Mask-interpolated	Mean	209.2338143	163.9068774
diagnostics	Mask-interpolated	Minimum	-11.78232466	82.57979285
diagnostics	Mask-interpolated	Maximum	321.0812331	242.1283831
original	shape	Elongation	0.81710174	0.776010914
original	shape	Flatness	0.685088214	0.65393505
original	shape	LeastAxisLength	21.32290142	5.647118534
original	shape	MajorAxisLength	31.12431504	8.635595441
original	shape	Maximum2DDiameterColumn	34.92849839	8.062257748
original	shape	Maximum2DDiameterRow	36.67424164	9.848857802
original	shape	Maximum2DDiameterSlice	32.01562119	9.486832981
original	shape	Maximum3DDiameter	39.05124838	10.04987562
original	shape	MeshVolume	11556.20833	209.5833333
original	shape	MinorAxisLength	25.43173199	6.701316315
original	shape	Sphericity	0.784618752	0.819147766
original	shape	SurfaceArea	3150.424065	208.3018062
original	shape	SurfaceVolumeRatio	0.272617452	0.993885358
original	shape	VoxelVolume	11590	218
original	firstorder	10Percentile	124.9501899	140.1184392
original	firstorder	90Percentile	267.2567924	184.0332989
original	firstorder	Energy	3040615178	47028065.18
original	firstorder	Entropy	3.01204297	1.911844161
original	firstorder	InterquartileRange	67.39260836	24.92390791
original	firstorder	Kurtosis	3.386072256	5.572792959
original	firstorder	Maximum	321.0812331	242.1283831
original	firstorder	MeanAbsoluteDeviation	43.26272847	16.56775735
original	firstorder	Mean	209.2338143	163.9068774
original	firstorder	Median	221.9790041	163.7771019
original	firstorder	Minimum	-11.78232466	82.57979285
original	firstorder	Range	332.8635578	159.5485902
original	firstorder	RobustMeanAbsoluteDeviation	28.97221428	10.58584153
original	firstorder	RootMeanSquared	512.1993365	464.4621294
original	firstorder	Skewness	-0.950289245	-0.055148856
original	firstorder	TotalEnergy	3040615178	47028065.18
original	firstorder	Uniformity	0.150353039	0.336251157
original	firstorder	Variance	3029.082732	515.4787719
original	glcm	Autocorrelation	102.7907339	17.96761787
original	glcm	JointAverage	9.960195436	4.228498479
original	glcm	ClusterProminence	1022.616563	14.849115
original	glcm	ClusterShade	-71.78450729	0.148882538
original	glcm	ClusterTendency	17.02662682	1.698727243
original	glcm	Contrast	2.685828486	1.351745467
original	glcm	Correlation	0.727876458	0.10982857
original	glcm	DifferenceAverage	1.132962464	0.799480527
original	glcm	DifferenceEntropy	2.00667102	1.570527023
original	glcm	DifferenceVariance	1.375784985	0.698502264
original	glcm	JointEnergy	0.039232276	0.149673276
original	glcm	JointEntropy	5.421952386	3.343342132
original	glcm	Imc1	-0.182508578	-0.084513181
original	glcm	Imc2	0.803523224	0.493715491
original	glcm	Idm	0.570378373	0.652053106
original	glcm	Idmn	0.98712514	0.975502491
original	glcm	Id	0.607924927	0.670585764
original	glcm	Idn	0.930297011	0.906908107
original	glcm	InverseVariance	0.443608414	0.497504432
original	glcm	MaximumProbability	0.093593252	0.270014235
original	glcm	SumEntropy	3.859422181	2.311056828
original	glcm	SumSquares	4.928113828	0.762618178
original	glrlm	GrayLevelNonUniformity	1113.267529	46.09426715
original	glrlm	GrayLevelNonUniformityNormalized	0.137902781	0.289771397
original	glrlm	GrayLevelVariance	5.02120531	1.159870102
original	glrlm	HighGrayLevelRunEmphasis	98.59990874	17.46303992
