Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_13_segment_Rt Cerebellar	1: RTSTRUCT: ANON_13_segment_L ant frontal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	3668fa370fca0b364a1c11e37dbaca731b49e0aa	3668fa370fca0b364a1c11e37dbaca731b49e0aa
diagnostics	Image-original	Dimensionality	3D	3D
diagnostics	Image-original	Spacing	(0.9722222089767502, 0.9722222089767503, 1.4058823529411522)	(0.9722222089767502, 0.9722222089767503, 1.4058823529411522)
diagnostics	Image-original	Size	(288, 288, 171)	(288, 288, 171)
diagnostics	Image-original	Mean	43.23305423288481	43.23305423288481
diagnostics	Image-original	Minimum	0.0	0.0
diagnostics	Image-original	Maximum	746.0	746.0
diagnostics	Mask-original	Hash	67f7a52612de494f4a0b73731689a48e50658aeb	36d48519bcbc72656b66f346e4ce269b3fb15cff
diagnostics	Mask-original	Spacing	(0.9722222089767502, 0.9722222089767503, 1.4058823529411522)	(0.9722222089767502, 0.9722222089767503, 1.4058823529411522)
diagnostics	Mask-original	Size	(288, 288, 171)	(288, 288, 171)
diagnostics	Mask-original	BoundingBox	(120, 172, 84, 23, 23, 13)	(164, 99, 111, 4, 4, 2)
diagnostics	Mask-original	VoxelNum	2834	18
diagnostics	Mask-original	VolumeNum	1	1
diagnostics	Mask-original	CenterOfMassIndex	(132.6337332392378, 182.2314749470713, 89.33062808750883)	(165.83333333333334, 100.44444444444444, 111.5)
diagnostics	Mask-original	CenterOfMass	(-9.2770206876462, 39.19962817471959, -11.825762964272258)	(26.97464817712705, -42.04206529571324, 8.704952126650056)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(34, 35, 30)	(16, 16, 15)
diagnostics	Image-interpolated	Mean	120.26089306101764	170.8886376732149
diagnostics	Image-interpolated	Minimum	-46.81969186345135	30.344549182901304
diagnostics	Image-interpolated	Maximum	357.42407797005734	310.86752119527154
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(34, 35, 30)	(16, 16, 15)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 22, 23, 18)	(6, 6, 6, 4, 4, 3)
diagnostics	Mask-interpolated	VoxelNum	3983	27
diagnostics	Mask-interpolated	VolumeNum	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(17.82676374592016, 16.1792618629174, 13.772533266382124)	(7.888888888888889, 7.296296296296297, 7.0)
diagnostics	Mask-interpolated	CenterOfMass	(-9.387024275148171, 39.22038572468327, -11.840581231462021)	(26.66707973396006, -42.40337900157648, 8.704134658838694)
diagnostics	Mask-interpolated	Mean	148.42847485046318	251.4302030518078
diagnostics	Mask-interpolated	Minimum	26.706091608538586	194.6839220721909
diagnostics	Mask-interpolated	Maximum	323.8191974007488	310.86752119527154
original	shape	Elongation	0.8369264593717783	0.7895139011953342
original	shape	Flatness	0.7388190298322981	0.6215541964839751
original	shape	LeastAxisLength	15.529676304561024	2.6208426019195756
original	shape	MajorAxisLength	21.0195943492225	4.216595458200154
original	shape	Maximum2DDiameterColumn	22.090722034374522	4.47213595499958
original	shape	Maximum2DDiameterRow	23.53720459187964	4.47213595499958
original	shape	Maximum2DDiameterSlice	24.186773244895647	4.123105625617661
original	shape	Maximum3DDiameter	25.019992006393608	4.898979485566356
original	shape	MeshVolume	3959.125	23.041666666666668
original	shape	MinorAxisLength	17.591854676125827	3.329060729966131
original	shape	Sphericity	0.7787560131541873	0.8646232986048109
original	shape	SurfaceArea	1554.1115470616064	45.28973540891946
original	shape	SurfaceVolumeRatio	0.392539146165278	1.965558137095962
original	shape	VoxelVolume	3983.0	27.0
original	firstorder	10Percentile	89.71561307551373	217.87140636884467
original	firstorder	90Percentile	203.0215973195941	291.5864169524718
original	firstorder	Energy	810316375.3488472	8233215.265302719
original	firstorder	Entropy	2.9316751627252846	2.2804936018977724
original	firstorder	InterquartileRange	57.05012265885196	40.50851096032994
original	firstorder	Kurtosis	4.045132877041149	2.5175409336326147
original	firstorder	Maximum	323.8191974007488	310.86752119527154
original	firstorder	MeanAbsoluteDeviation	36.97977639153978	23.71388693895569
original	firstorder	Mean	148.42847485046318	251.4302030518078
original	firstorder	Median	145.34760442058862	246.15120615954405
original	firstorder	Minimum	26.706091608538586	194.6839220721909
original	firstorder	Range	297.1131057922102	116.18359912308063
original	firstorder	RobustMeanAbsoluteDeviation	24.179478056379605	15.558199950928216
original	firstorder	RootMeanSquared	451.0473696723964	552.2082023249161
original	firstorder	Skewness	0.7250249962471738	0.286686894057653
original	firstorder	TotalEnergy	810316375.3488472	8233215.265302719
original	firstorder	Uniformity	0.15865740973326947	0.2455418381344307
original	firstorder	Variance	2355.6326316749582	858.6298771575077
original	glcm	Autocorrelation	32.932500958984846	15.683310053445801
original	glcm	JointAverage	5.487900454712478	3.9562628045659727
original	glcm	ClusterProminence	700.8401028049809	33.23771301536898
original	glcm	ClusterShade	31.454650014234304	-0.5787725850587949
original	glcm	ClusterTendency	13.284177872930458	3.6290977660580768
original	glcm	Contrast	2.0248282535199214	3.6198285625887436
original	glcm	Correlation	0.7347057665786889	0.004915323250039493
original	glcm	DifferenceAverage	0.9191335995573768	1.5555073131996207
original	glcm	DifferenceEntropy	1.8063967033233412	1.761447030794546
original	glcm	DifferenceVariance	1.1629127887908182	1.05604635060262
original	glcm	JointEnergy	0.04647090395655333	0.09762125105067829
original	glcm	JointEntropy	5.135625627784752	3.568566118590143
original	glcm	Imc1	-0.2413222948817539	-0.3806747622031152
original	glcm	Imc2	0.8632577379446283	0.890531119518235
original	glcm	Idm	0.6360340076816937	0.4227824036195077
original	glcm	Idmn	0.9870596904351703	0.9170106005852614
original	glcm	Id	0.6614332196897349	0.48932047297431913
