Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_14_segment_1_LtTemporal_1	1: RTSTRUCT: ANON_14_segment_2_RtCerebellar_1	1: RTSTRUCT: ANON_14_segment_3_LtOccipital_1
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	be16b71711d2b9b0a19b9c7b39ed8e01623d7a84	be16b71711d2b9b0a19b9c7b39ed8e01623d7a84	be16b71711d2b9b0a19b9c7b39ed8e01623d7a84
diagnostics	Image-original	Dimensionality	3D	3D	3D
diagnostics	Image-original	Spacing	(0.9722222089767499, 0.9722222089767499, 1.439759036144578)	(0.9722222089767499, 0.9722222089767499, 1.439759036144578)	(0.9722222089767499, 0.9722222089767499, 1.439759036144578)
diagnostics	Image-original	Size	(288, 288, 167)	(288, 288, 167)	(288, 288, 167)
diagnostics	Image-original	Mean	148.92827683752864	148.92827683752864	148.92827683752864
diagnostics	Image-original	Minimum	0.0	0.0	0.0
diagnostics	Image-original	Maximum	2529.0	2529.0	2529.0
diagnostics	Mask-original	Hash	85e880649d825a0d2e628d464934562ed0c51d71	4f3c39490446101018a2ce33cd15d688ca610876	e2e8ee64886f0257dfc47c9751f07b7057be0a4e
diagnostics	Mask-original	Spacing	(0.9722222089767499, 0.9722222089767499, 1.439759036144578)	(0.9722222089767499, 0.9722222089767499, 1.439759036144578)	(0.9722222089767499, 0.9722222089767499, 1.439759036144578)
diagnostics	Mask-original	Size	(288, 288, 167)	(288, 288, 167)	(288, 288, 167)
diagnostics	Mask-original	BoundingBox	(170, 140, 96, 26, 26, 19)	(123, 170, 100, 4, 3, 2)	(141, 218, 96, 4, 5, 5)
diagnostics	Mask-original	VoxelNum	5885	13	35
diagnostics	Mask-original	VolumeNum	1	1	1
diagnostics	Mask-original	CenterOfMassIndex	(182.58997451146985, 152.8715378079864, 105.64010195412065)	(124.61538461538461, 171.07692307692307, 100.3076923076923)	(142.62857142857143, 220.0857142857143, 98.28571428571429)
diagnostics	Mask-original	CenterOfMass	(41.163863517759694, 2.9834596995132756, 15.561384980349686)	(-15.200320335533462, 20.683139580951632, 7.884000007479955)	(2.3124999386938896, 68.33057482924298, 4.972838879451388)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(38, 37, 39)	(15, 15, 15)	(16, 17, 19)
diagnostics	Image-interpolated	Mean	113.84134402731465	136.87602742360087	151.25264137128633
diagnostics	Image-interpolated	Minimum	-81.40993253798295	-34.24842204898382	-22.97138787228324
diagnostics	Image-interpolated	Maximum	352.73208264117375	317.9228709386882	329.88989210314674
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(38, 37, 39)	(15, 15, 15)	(16, 17, 19)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 26, 25, 28)	(6, 6, 6, 3, 3, 3)	(6, 6, 6, 4, 5, 7)
diagnostics	Mask-interpolated	VoxelNum	8146	10	50
diagnostics	Mask-interpolated	VolumeNum	1	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(18.605082248956542, 18.506015222194943, 20.3677878713479)	(7.1, 7.1, 6.6)	(7.66, 8.02, 9.6)
diagnostics	Mask-interpolated	CenterOfMass	(41.264806305678185, 2.8782596398665667, 15.613001965945614)	(-15.240275943278357, 20.472244417671597, 7.845214094597713)	(2.3197240567216717, 68.39224441767159, 4.845214094597713)
diagnostics	Mask-interpolated	Mean	273.4274255088735	207.2823596454532	209.54013621987212
diagnostics	Mask-interpolated	Minimum	-30.847954828134576	164.88888178605194	101.77001612216415
diagnostics	Mask-interpolated	Maximum	340.3820549979565	235.94370644091583	272.75091855735997
original	shape	Elongation	0.9103342376857251	0.6426420158156145	0.5973717338232291
original	shape	Flatness	0.8482145215853408	0.5265920458937492	0.574528325955885
original	shape	LeastAxisLength	20.950085299008613	1.9306258263519818	3.6278850252467243
original	shape	MajorAxisLength	24.699041063164323	3.6662646946656032	6.314545099601043
original	shape	Maximum2DDiameterColumn	28.635642126552707	3.1622776601683795	7.280109889280518
original	shape	Maximum2DDiameterRow	31.304951684997057	3.605551275463989	7.0710678118654755
original	shape	Maximum2DDiameterSlice	27.65863337187866	3.1622776601683795	5.0
original	shape	Maximum3DDiameter	33.015148038438355	3.7416573867739413	7.280109889280518
original	shape	MeshVolume	8115.583333333333	6.833333333333333	43.958333333333336
original	shape	MinorAxisLength	22.484382717804117	2.356095733893522	3.7721307544536495
original	shape	Sphericity	0.8210080562965323	0.7523824046878361	0.7540338117507052
original	shape	SurfaceArea	2378.7558360882626	23.145535412082943	79.88295391620281
original	shape	SurfaceVolumeRatio	0.29310965563226254	3.387151523719455	1.81724255354395
