Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_3_segment_1 cerebe 1	1: RTSTRUCT: RTstruct_3_segment_2 Lt Parietal 1	1: RTSTRUCT: RTstruct_3_segment_3 Lt Frontal 1	1: RTSTRUCT: RTstruct_3_segment_4 Rt Thalamic 1	1: RTSTRUCT: RTstruct_3_segment_5 RT Frontal 1
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4	1.23.4	
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1	1.4.1	
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10	3.9.10	
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	
diagnostics	Image-original	Hash	cf38f674e74723005a65a710779c84347ee4194a	cf38f674e74723005a65a710779c84347ee4194a	cf38f674e74723005a65a710779c84347ee4194a	cf38f674e74723005a65a710779c84347ee4194a	
diagnostics	Image-original	Dimensionality	3D	3D	3D	3D	
diagnostics	Image-original	Spacing	(0.9722222089767505, 0.9722222089767505, 1.1545893719806766)	(0.9722222089767505, 0.9722222089767505, 1.1545893719806766)	(0.9722222089767505, 0.9722222089767505, 1.1545893719806766)	(0.9722222089767505, 0.9722222089767505, 1.1545893719806766)	
diagnostics	Image-original	Size	(288, 288, 208)	(288, 288, 208)	(288, 288, 208)	(288, 288, 208)	
diagnostics	Image-original	Mean	121.16420387202858	121.16420387202858	121.16420387202858	121.16420387202858	
diagnostics	Image-original	Minimum	0.0	0.0	0.0	0.0	
diagnostics	Image-original	Maximum	2119.0	2119.0	2119.0	2119.0	
diagnostics	Mask-original	Hash	fa6b52173e058c3fa65cc9100b946162884a6f9d	4ba0a7fdface6bd4b3b7ef9bc384d2e64a565fef	b606dcf2c414e04dd9d33c2e774712a97d822c67	82d8db3da048e4f621beb484f8455563b80ade63	
diagnostics	Mask-original	Spacing	(0.9722222089767505, 0.9722222089767505, 1.1545893719806766)	(0.9722222089767505, 0.9722222089767505, 1.1545893719806766)	(0.9722222089767505, 0.9722222089767505, 1.1545893719806766)	(0.9722222089767505, 0.9722222089767505, 1.1545893719806766)	
diagnostics	Mask-original	Size	(288, 288, 208)	(288, 288, 208)	(288, 288, 208)	(288, 288, 208)	
diagnostics	Mask-original	BoundingBox	(113, 188, 104, 3, 2, 1)	(149, 194, 162, 9, 8, 6)	(172, 110, 168, 2, 2, 1)	(123, 138, 135, 5, 5, 6)	
diagnostics	Mask-original	VoxelNum	4	220	4	78	
diagnostics	Mask-original	VolumeNum	1	1	1	1	
diagnostics	Mask-original	CenterOfMassIndex	(114.0, 188.75, 104.0)	(153.1909090909091, 198.26818181818183, 164.77272727272728)	(172.5, 110.5, 168.0)	(124.94871794871794, 140.07692307692307, 137.21794871794873)	
diagnostics	Mask-original	CenterOfMass	(-25.52083301544046, 73.45851817727161, 6.881370642330367)	(12.581439192730187, 82.7123059299867, 77.04891565770149)	(31.354166209699457, -2.617869675159099, 80.77509044909365)	(-14.8762462658745, 26.137471813422465, 45.23446119107311)	
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.1545893719806766)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.1545893719806766)	(1.0, 1.0, 1.0)	
diagnostics	Image-interpolated	Size	(15, 14, 13)	(21, 19, 19)	(14, 14, 13)	(16, 17, 19)	
diagnostics	Image-interpolated	Mean	173.4799738005777	149.4546588271006	121.76735637794192	204.84034256223262	
diagnostics	Image-interpolated	Minimum	3.2629068579588743	-60.52294710522783	-37.803640980387186	60.27694159757901	
diagnostics	Image-interpolated	Maximum	255.7371232352167	346.53666632148713	291.6809579486649	313.7525925434082	
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.1545893719806766)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.1545893719806766)	(1.0, 1.0, 1.0)	
