Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_7_segment_Lt post Cerebllar	1: RTSTRUCT: RTstruct_7_segment_Rt inf Occipital	1: RTSTRUCT: RTstruct_7_segment_Lt inf Temporal	1: RTSTRUCT: RTstruct_7_segment_Lt lat Temporal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23		v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4		1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368		2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1		1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10		3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}		{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}		{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	35e4108ae380efb9ad5158997d30c0a08c73ed97		35e4108ae380efb9ad5158997d30c0a08c73ed97	35e4108ae380efb9ad5158997d30c0a08c73ed97
diagnostics	Image-original	Dimensionality	3D		3D	3D
diagnostics	Image-original	Spacing	(0.97222220897675, 0.9722222089767505, 1.3351955307262544)		(0.97222220897675, 0.9722222089767505, 1.3351955307262544)	(0.97222220897675, 0.9722222089767505, 1.3351955307262544)
diagnostics	Image-original	Size	(288, 288, 180)		(288, 288, 180)	(288, 288, 180)
diagnostics	Image-original	Mean	114.94685102130487		114.94685102130487	114.94685102130487
diagnostics	Image-original	Minimum	0.0		0.0	0.0
diagnostics	Image-original	Maximum	2306.0		2306.0	2306.0
diagnostics	Mask-original	Hash	ae81bbf4f5e19aff3296a6845ad7d74fbfd03d8e		34ef010e46943081aebb77bf0a3d7e921d88455e	2df1a317d56d8e51ddc9f6b30f33a4659a51c501
diagnostics	Mask-original	Spacing	(0.97222220897675, 0.9722222089767505, 1.3351955307262544)		(0.97222220897675, 0.9722222089767505, 1.3351955307262544)	(0.97222220897675, 0.9722222089767505, 1.3351955307262544)
diagnostics	Mask-original	Size	(288, 288, 180)		(288, 288, 180)	(288, 288, 180)
diagnostics	Mask-original	BoundingBox	(161, 203, 65, 3, 3, 1)		(192, 175, 71, 2, 2, 1)	(200, 170, 85, 4, 5, 3)
diagnostics	Mask-original	VoxelNum	8		4	39
diagnostics	Mask-original	VolumeNum	1		1	1
diagnostics	Mask-original	CenterOfMassIndex	(162.125, 204.125, 65.0)		(192.5, 175.5, 71.0)	(201.7948717948718, 171.84615384615384, 85.84615384615384)
diagnostics	Mask-original	CenterOfMass	(18.948845977557312, 59.1654823886241, 4.309494678944731)		(48.98029827462423, 32.22502479811085, -4.806335765539899)	(59.42088611463356, 19.436167047090564, 9.844680110143543)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.3351955307262544)		(1.0, 1.0, 1.3351955307262544)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(14, 15, 13)		(14, 14, 13)	(16, 17, 16)
diagnostics	Image-interpolated	Mean	116.52166258205311		98.18549229900181	88.26228352395052
diagnostics	Image-interpolated	Minimum	-32.534068997859855		-47.36145092080315	-53.01556270652945
diagnostics	Image-interpolated	Maximum	304.03863740222283		342.3190880032726	350.22483648910884
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.3351955307262544)		(1.0, 1.0, 1.3351955307262544)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(14, 15, 13)		(14, 14, 13)	(16, 17, 16)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 2, 3, 1)		(6, 6, 6, 2, 2, 1)	(6, 6, 6, 4, 5, 4)
diagnostics	Mask-interpolated	VoxelNum	6		4	54
diagnostics	Mask-interpolated	VolumeNum	1		1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(6.5, 7.0, 6.0)		(6.5, 6.5, 6.0)	(7.7407407407407405, 7.777777777777778, 7.333333333333333)
diagnostics	Mask-interpolated	CenterOfMass	(18.84148865581681, 58.78194847951986, 4.091742702787181)		(49.34047452983287, 32.142615329544675, -4.885266029021409)	(58.95437727950378, 19.409663098811738, 9.337410876580813)
diagnostics	Mask-interpolated	Mean	173.24762392265916		189.91264352286197	213.41018436481482
diagnostics	Mask-interpolated	Minimum	148.5807306383761		174.5730896200391	131.95232872765865
diagnostics	Mask-interpolated	Maximum	202.45405527569832		207.96556517862462	350.22483648910884
original	shape	Elongation	0.6123724356957945		1.0	0.9481316721315357
original	shape	Flatness	0.0		0.0	0.7242278840457163
original	shape	LeastAxisLength	0.0		0.0	3.4694199674198276
original	shape	MajorAxisLength	3.2659863237109046		2.0	4.7905086835911215
original	shape	Maximum2DDiameterColumn	2.0		2.0	5.0
original	shape	Maximum2DDiameterRow	3.0		2.0	5.385164807134504
original	shape	Maximum2DDiameterSlice	3.1622776601683795		2.23606797749979	5.385164807134504
original	shape	Maximum3DDiameter	3.1622776601683795		2.23606797749979	5.830951894845301
original	shape	MeshVolume	4.8957169459962655		2.892923649906885	49.041666666666664
original	shape	MinorAxisLength	2.0		2.0	4.542033008533893
original	shape	Sphericity	0.8635874570668856		0.9083294055289196	0.8840743106432016
original	shape	SurfaceArea	16.145642505647942		10.809328908114667	73.2890064510605
original	shape	SurfaceVolumeRatio	3.2979117632304917		3.7364722392388714	1.49442324114312
original	shape	VoxelVolume	8.011173184357526		5.340782122905018	54.0
