Image type	Feature Class	Feature Name	1: RTSTRUCT: RTstruct_9_segment_R post temporal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	b7e07b7bd1a92d40b757a9d1efc026aee33ddc8e
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(1.015625, 1.015625, 2.3409090909090566)
diagnostics	Image-original	Size	(256, 256, 89)
diagnostics	Image-original	Mean	74.67644355002415
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	2409.0
diagnostics	Mask-original	Hash	dfd00353d6077f551b121f4f84676a54151c8d19
diagnostics	Mask-original	Spacing	(1.015625, 1.015625, 2.3409090909090566)
diagnostics	Mask-original	Size	(256, 256, 89)
diagnostics	Mask-original	BoundingBox	(82, 157, 61, 10, 8, 7)
diagnostics	Mask-original	VoxelNum	295
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(86.2135593220339, 160.61016949152543, 64.18305084745762)
diagnostics	Mask-original	CenterOfMass	(-46.03212629754812, 34.015587188219314, 55.40911654382478)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(22, 21, 29)
diagnostics	Image-interpolated	Mean	69.12202157572234
diagnostics	Image-interpolated	Minimum	-64.17037593068656
diagnostics	Image-interpolated	Maximum	350.481276113269
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(22, 21, 29)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 7, 10, 9, 16)
diagnostics	Mask-interpolated	VoxelNum	798
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(10.18922305764411, 10.11654135338346, 14.912280701754385)
diagnostics	Mask-interpolated	CenterOfMass	(-46.41136192634463, 34.00461265177041, 55.40425548903286)
diagnostics	Mask-interpolated	Mean	146.06915147970892
diagnostics	Mask-interpolated	Minimum	-8.698393833095691
diagnostics	Mask-interpolated	Maximum	312.80136593092266
original	shape	Elongation	0.5518757262883633
original	shape	Flatness	0.46384460570290215
original	shape	LeastAxisLength	7.749083070094265
original	shape	MajorAxisLength	16.706204998011
original	shape	Maximum2DDiameterColumn	17.08800749063506
original	shape	Maximum2DDiameterRow	17.08800749063506
original	shape	Maximum2DDiameterSlice	10.816653826391969
original	shape	Maximum3DDiameter	17.804493814764857
original	shape	MeshVolume	783.7083333333334
original	shape	MinorAxisLength	9.219749016799607
