Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_22_segment_Rt sup vermis	1: RTSTRUCT: ANON_22_segment_Rt Inf Medial cerebellum	1: RTSTRUCT: ANON_22_segment_Rt Frontal deep	1: RTSTRUCT: ANON_22_segment_Lt Frontal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	ba6d12bb96d8182f5b68c76fd1067f9aaf865e6f	ba6d12bb96d8182f5b68c76fd1067f9aaf865e6f	ba6d12bb96d8182f5b68c76fd1067f9aaf865e6f	ba6d12bb96d8182f5b68c76fd1067f9aaf865e6f
diagnostics	Image-original	Dimensionality	3D	3D	3D	3D
diagnostics	Image-original	Spacing	(0.9722222089767498, 0.9722222089767498, 1.0575221238938055)	(0.9722222089767498, 0.9722222089767498, 1.0575221238938055)	(0.9722222089767498, 0.9722222089767498, 1.0575221238938055)	(0.9722222089767498, 0.9722222089767498, 1.0575221238938055)
diagnostics	Image-original	Size	(288, 288, 227)	(288, 288, 227)	(288, 288, 227)	(288, 288, 227)
diagnostics	Image-original	Mean	141.92049234640982	141.92049234640982	141.92049234640982	141.92049234640982
diagnostics	Image-original	Minimum	0.0	0.0	0.0	0.0
diagnostics	Image-original	Maximum	2614.0	2614.0	2614.0	2614.0
diagnostics	Mask-original	Hash	7301f645725b43913058dba22f3f6223850bc81c	e36231283dae1c3a2af8b3c66c1322b5b1b1908b	582f1d5863cc406ed632b7ee7f4b4e587f72da3d	a6950a4f60366df6afdd9dd487f58aa61ecce8cb
diagnostics	Mask-original	Spacing	(0.9722222089767498, 0.9722222089767498, 1.0575221238938055)	(0.9722222089767498, 0.9722222089767498, 1.0575221238938055)	(0.9722222089767498, 0.9722222089767498, 1.0575221238938055)	(0.9722222089767498, 0.9722222089767498, 1.0575221238938055)
diagnostics	Mask-original	Size	(288, 288, 227)	(288, 288, 227)	(288, 288, 227)	(288, 288, 227)
diagnostics	Mask-original	BoundingBox	(133, 183, 93, 5, 4, 5)	(124, 218, 69, 4, 3, 4)	(117, 113, 151, 2, 2, 1)	(181, 113, 149, 10, 10, 8)
diagnostics	Mask-original	VoxelNum	55	34	3	382
diagnostics	Mask-original	VolumeNum	1	1	1	1
diagnostics	Mask-original	CenterOfMassIndex	(134.98181818181817, 184.45454545454547, 94.38181818181818)	(125.52941176470588, 219.05882352941177, 70.3529411764706)	(117.33333333333333, 113.33333333333333, 151.0)	(185.23560209424085, 117.15183246073299, 152.50785340314135)
diagnostics	Mask-original	CenterOfMass	(-8.753804574264677, 35.141945698040445, -33.09208511513465)	(-17.943644021255594, 68.78499336803267, -58.50315416061285)	(-25.91205349875132, -34.00367625554841, 26.78289477223464)	(40.104040230511146, -30.29124659893212, 28.377483105645183)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0575221238938055)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(17, 16, 18)	(15, 15, 16)	(14, 14, 13)	(22, 22, 20)
diagnostics	Image-interpolated	Mean	127.38346093243362	139.29670835800573	153.84040479582612	136.36436590729593
diagnostics	Image-interpolated	Minimum	-40.317663911388074	-37.17883080347643	-18.99295525995931	-39.68160355640608
diagnostics	Image-interpolated	Maximum	319.45074588586334	334.5209159826346	307.6937214202953	331.92750598155953
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0575221238938055)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(17, 16, 18)	(15, 15, 16)	(14, 14, 13)	(22, 22, 20)
