Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_26_segment_Rt Sup Frontal	1: RTSTRUCT: ANON_26_segment_Lt Temporal	1: RTSTRUCT: ANON_26_segment_Lt Parietal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	3b1bf563caa259c5e5cb5eae0d9365d118dab3a2	3b1bf563caa259c5e5cb5eae0d9365d118dab3a2	3b1bf563caa259c5e5cb5eae0d9365d118dab3a2
diagnostics	Image-original	Dimensionality	3D	3D	3D
diagnostics	Image-original	Spacing	(1.015625, 1.015625, 1.1436464088397844)	(1.015625, 1.015625, 1.1436464088397844)	(1.015625, 1.015625, 1.1436464088397844)
diagnostics	Image-original	Size	(256, 256, 182)	(256, 256, 182)	(256, 256, 182)
diagnostics	Image-original	Mean	75.00853536417196	75.00853536417196	75.00853536417196
diagnostics	Image-original	Minimum	0.0	0.0	0.0
diagnostics	Image-original	Maximum	1775.0	1775.0	1775.0
diagnostics	Mask-original	Hash	e5e8555ed0185f98f4bcf619a6ac5958691eca5e	20c864f724b2069f685cf9b55f6370324e432594	76134be55eeafad978e8c7e38440b7e5d25a9d4d
diagnostics	Mask-original	Spacing	(1.015625, 1.015625, 1.1436464088397844)	(1.015625, 1.015625, 1.1436464088397844)	(1.015625, 1.015625, 1.1436464088397844)
diagnostics	Mask-original	Size	(256, 256, 182)	(256, 256, 182)	(256, 256, 182)
diagnostics	Mask-original	BoundingBox	(87, 123, 131, 26, 28, 16)	(159, 89, 72, 23, 31, 28)	(167, 157, 116, 13, 13, 7)
diagnostics	Mask-original	VoxelNum	5160	8537	730
diagnostics	Mask-original	VolumeNum	1	1	1
diagnostics	Mask-original	CenterOfMassIndex	(99.46531007751938, 135.9672480620155, 139.225)	(170.33735504275506, 104.03596111046035, 85.3541056577252)	(172.8068493150685, 163.12191780821917, 118.86575342465754)
diagnostics	Mask-original	CenterOfMass	(-32.57331693638562, 12.619581218699153, 47.40597115932901)	(39.40610373159069, -19.810632091121548, -14.203283696201026)	(41.91418385161512, 40.198542680052014, 24.122191926754923)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(39, 40, 30)	(36, 44, 44)	(25, 26, 20)
diagnostics	Image-interpolated	Mean	164.91313317976977	60.66326997721999	84.30176280799051
diagnostics	Image-interpolated	Minimum	-87.5660167349154	-56.62399633920892	-31.182602659402836
diagnostics	Image-interpolated	Maximum	365.81562902342233	337.62632260760046	283.3074265819129
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(39, 40, 30)	(36, 44, 44)	(25, 26, 20)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 27, 28, 18)	(6, 6, 6, 24, 32, 32)	(6, 6, 6, 13, 14, 8)
diagnostics	Mask-interpolated	VoxelNum	6247	10264	910
diagnostics	Mask-interpolated	VolumeNum	1	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(18.95757963822635, 18.98607331519129, 15.336801664799104)	(18.187353858144974, 21.621492595479346, 21.70644972720187)	(11.801098901098902, 12.614285714285714, 9.343956043956045)
diagnostics	Mask-interpolated	CenterOfMass	(-32.64300534563933, 12.50610572090562, 47.446778348989234)	(39.586768874437766, -19.85847499845261, -14.183573588607999)	(42.20051391709793, 40.134318120366565, 24.45393272814619)
diagnostics	Mask-interpolated	Mean	243.00318333000595	64.22478772816504	92.4508228985055
diagnostics	Mask-interpolated	Minimum	-2.8170317034193406	-30.474482652092203	-12.115268196586394
diagnostics	Mask-interpolated	Maximum	340.30230923077823	253.52323262395535	283.3074265819129
original	shape	Elongation	0.9208431419844862	0.8286157487239164	0.8691137586828364
original	shape	Flatness	0.6449752781203639	0.6454370469850813	0.6541517596532438
original	shape	LeastAxisLength	15.935063130254905	19.461768277569345	8.618012059928452
original	shape	MajorAxisLength	24.70647119482483	30.152852812644927	13.174331388326054
original	shape	Maximum2DDiameterColumn	27.51363298439521	32.55764119219941	13.341664064126334
original	shape	Maximum2DDiameterRow	28.861739379323623	34.828149534535996	14.317821063276353
original	shape	Maximum2DDiameterSlice	29.732137494637012	31.016124838541646	15.264337522473747
original	shape	Maximum3DDiameter	30.23243291566195	35.185224171518364	15.556349186104045
original	shape	MeshVolume	6220.125	10231.125	896.75
original	shape	MinorAxisLength	22.750784562391697	24.985128709511827	11.449992671041327
original	shape	Sphericity	0.7959156699792443	0.8056011867170916	0.8399550515320209
original	shape	SurfaceArea	2055.022009486124	2829.086899756648	535.3966733637915
original	shape	SurfaceVolumeRatio	0.3303827510678843	0.27651767520743303	0.5970411746459899
original	shape	VoxelVolume	6247.0	10264.0	910.0
