Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_27_segment_Rt Cerebellar	1: RTSTRUCT: ANON_27_segment_Lt Occipital	1: RTSTRUCT: ANON_27_segment_Rt Mesial Frontal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	aba5bad8553f4fa8b37320dc076d5edf90522aa9	aba5bad8553f4fa8b37320dc076d5edf90522aa9	aba5bad8553f4fa8b37320dc076d5edf90522aa9
diagnostics	Image-original	Dimensionality	3D	3D	3D
diagnostics	Image-original	Spacing	(0.97222220897675, 0.97222220897675, 1.9193548387096775)	(0.97222220897675, 0.97222220897675, 1.9193548387096775)	(0.97222220897675, 0.97222220897675, 1.9193548387096775)
diagnostics	Image-original	Size	(288, 288, 125)	(288, 288, 125)	(288, 288, 125)
diagnostics	Image-original	Mean	100.62858777006173	100.62858777006173	100.62858777006173
diagnostics	Image-original	Minimum	0.0	0.0	0.0
diagnostics	Image-original	Maximum	2079.0	2079.0	2079.0
diagnostics	Mask-original	Hash	f6c948e06c802c4a4bf6df69769440ef01f79b52	e6da58b4449b3ee54796f060483f609345e60847	493fd8fe9bb23f02561776dce53245c981527bd6
diagnostics	Mask-original	Spacing	(0.97222220897675, 0.97222220897675, 1.9193548387096775)	(0.97222220897675, 0.97222220897675, 1.9193548387096775)	(0.97222220897675, 0.97222220897675, 1.9193548387096775)
diagnostics	Mask-original	Size	(288, 288, 125)	(288, 288, 125)	(288, 288, 125)
diagnostics	Mask-original	BoundingBox	(89, 169, 67, 24, 38, 8)	(154, 200, 81, 10, 10, 2)	(134, 80, 81, 5, 4, 1)
diagnostics	Mask-original	VoxelNum	2291	127	16
diagnostics	Mask-original	VolumeNum	1	1	1
diagnostics	Mask-original	CenterOfMassIndex	(99.61981667394151, 187.900480139677, 71.74770842426888)	(158.84251968503938, 204.4251968503937, 81.54330708661418)	(136.0, 81.5, 81.0)
diagnostics	Mask-original	CenterOfMass	(-39.50156661419172, 50.84082802805872, 19.60781818045156)	(18.076060528831874, 66.90652461126672, 38.40904787108205)	(-4.131944417952013, -52.604081809524885, 37.366248785483876)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.9193548387096775)
diagnostics	Image-interpolated	Size	(35, 49, 27)	(21, 22, 16)	(17, 16, 13)
diagnostics	Image-interpolated	Mean	168.97904547603179	197.1757287208303	166.029497567456
diagnostics	Image-interpolated	Minimum	-78.07954377620433	-74.64523144723185	-29.896559647046868
diagnostics	Image-interpolated	Maximum	387.6724311760281	357.57377797757096	331.61317049353187
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.9193548387096775)
diagnostics	Mask-interpolated	Size	(35, 49, 27)	(21, 22, 16)	(17, 16, 13)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 7, 23, 37, 15)	(6, 6, 6, 9, 10, 4)	(6, 6, 6, 5, 4, 1)
diagnostics	Mask-interpolated	VoxelNum	4383	222	16
diagnostics	Mask-interpolated	VolumeNum	1	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(15.583390371891399, 24.482774355464294, 16.091489847136664)	(10.35135135135135, 10.414414414414415, 7.599099099099099)	(8.0, 7.5, 6.0)
diagnostics	Mask-interpolated	CenterOfMass	(-39.75688557138699, 50.65647140984591, 19.530319277781818)	(18.011075408072994, 66.58811146879606, 38.037928529744256)	(-4.340275943278385, -52.32630294561838, 37.36624878548386)
diagnostics	Mask-interpolated	Mean	272.10762718308825	289.24259823315475	287.58752827483875
diagnostics	Mask-interpolated	Minimum	59.841519102240035	216.7385206333995	256.6518221572906
diagnostics	Mask-interpolated	Maximum	345.92815794776993	341.0639029412584	310.3037766626966
original	shape	Elongation	0.5584255412305785	0.9000762789225016	0.816496580927726
original	shape	Flatness	0.3542270413462762	0.479284255971496	0.0
original	shape	LeastAxisLength	11.614209147871527	4.383781601937743	0.0
original	shape	MajorAxisLength	32.78747185344895	9.1465170143174	4.898979485566356
original	shape	Maximum2DDiameterColumn	23.600847442411894	9.486832980505138	5.0
original	shape	Maximum2DDiameterRow	31.016124838541646	10.04987562112089	4.0
original	shape	Maximum2DDiameterSlice	38.62641583165593	10.198039027185569	5.0990195135927845
original	shape	Maximum3DDiameter	39.67366884975475	10.246950765959598	5.0990195135927845
original	shape	MeshVolume	4355.541666666667	213.875	24.311827956989237
original	shape	MinorAxisLength	18.30936171534459	8.232562999348154	4.0
original	shape	Sphericity	0.6643968535746797	0.7875643541498384	0.8553327844127542
original	shape	SurfaceArea	1941.2643207973474	219.60290869605	47.449038357965456
original	shape	SurfaceVolumeRatio	0.44569986223619656	1.0267815719277615	1.9516853459932726
original	shape	VoxelVolume	4383.0	222.0	30.70967741935484
