Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_30_segment_Rt Parietal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	d2739bebe6fdd195dccf7dd604c702c9a789ebc8
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.9765625, 0.9765624999999999, 1.0324324324324525)
diagnostics	Image-original	Size	(256, 256, 186)
diagnostics	Image-original	Mean	57.8810056460801
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	905.0
diagnostics	Mask-original	Hash	5b74de1e017dfd9c17b3770982e801461a5a7880
diagnostics	Mask-original	Spacing	(0.9765625, 0.9765624999999999, 1.0324324324324525)
diagnostics	Mask-original	Size	(256, 256, 186)
diagnostics	Mask-original	BoundingBox	(96, 154, 105, 29, 52, 37)
diagnostics	Mask-original	VoxelNum	13212
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(111.4821374508023, 175.0639570087799, 123.61504692703603)
diagnostics	Mask-original	CenterOfMass	(-23.433235884070868, 88.50636711530099, 59.72767178859484)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(40, 63, 51)
diagnostics	Image-interpolated	Mean	85.73607472108185
diagnostics	Image-interpolated	Minimum	-61.75597393309425
diagnostics	Image-interpolated	Maximum	331.5369640760939
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(40, 63, 51)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 28, 51, 39)
diagnostics	Mask-interpolated	VoxelNum	12590
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(20.954090548054012, 26.680778395552025, 25.916123907863383)
diagnostics	Mask-interpolated	CenterOfMass	(-23.336701440315977, 88.29382820213124, 60.04843444122219)
diagnostics	Mask-interpolated	Mean	119.61938891784659
diagnostics	Mask-interpolated	Minimum	-57.97715383867475
diagnostics	Mask-interpolated	Maximum	315.24924817676646
original	shape	Elongation	0.6876185322441938
original	shape	Flatness	0.4483428978298898
original	shape	LeastAxisLength	18.49866084893771
original	shape	MajorAxisLength	41.260073346709895
original	shape	Maximum2DDiameterColumn	39.20459156782532
original	shape	Maximum2DDiameterRow	49.64876634922564
original	shape	Maximum2DDiameterSlice	50.99019513592785
original	shape	Maximum3DDiameter	51.778373863998475
original	shape	MeshVolume	12536.583333333334
original	shape	MinorAxisLength	28.37119107495244
