Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_31_segment_Lt Frontal
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	b477c4ed0b0f316a7dd790ed4a365be6d4a4241a
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.9722222089767499, 0.9722222089767499, 1.93859649122807)
diagnostics	Image-original	Size	(288, 288, 115)
diagnostics	Image-original	Mean	138.48512081488192
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1828.0
diagnostics	Mask-original	Hash	1265abb1fbe91005646a83b663747a2d4b42fad1
diagnostics	Mask-original	Spacing	(0.9722222089767499, 0.9722222089767499, 1.93859649122807)
diagnostics	Mask-original	Size	(288, 288, 115)
diagnostics	Mask-original	BoundingBox	(158, 155, 79, 3, 5, 1)
diagnostics	Mask-original	VoxelNum	14
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(159.07142857142858, 157.14285714285714, 79.0)
diagnostics	Mask-original	CenterOfMass	(11.761080648221593, 6.409738949366414, 47.68927607201758)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.93859649122807)
diagnostics	Image-interpolated	Size	(15, 17, 13)
diagnostics	Image-interpolated	Mean	115.20839563551137
diagnostics	Image-interpolated	Minimum	-46.457402927313034
diagnostics	Image-interpolated	Maximum	304.0790410036514
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.93859649122807)
diagnostics	Mask-interpolated	Size	(15, 17, 13)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 3, 5, 1)
diagnostics	Mask-interpolated	VoxelNum	14
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(7.071428571428571, 8.142857142857142, 6.0)
diagnostics	Mask-interpolated	CenterOfMass	(12.193622444360203, 6.788709291388759, 47.689276072017556)
diagnostics	Mask-interpolated	Mean	77.98619354529457
diagnostics	Mask-interpolated	Minimum	28.991075648585067
diagnostics	Mask-interpolated	Maximum	149.19672001350904
original	shape	Elongation	0.5772889125888142
original	shape	Flatness	3.2597569332247556e-16
original	shape	LeastAxisLength	1.7763568394002505e-15
original	shape	MajorAxisLength	5.449353665897314
original	shape	Maximum2DDiameterColumn	3.0
original	shape	Maximum2DDiameterRow	5.0
original	shape	Maximum2DDiameterSlice	5.385164807134504
original	shape	Maximum3DDiameter	5.385164807134504
original	shape	MeshVolume	20.193713450292393
