Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_33_segment_Lt Parietal	1: RTSTRUCT: ANON_33_segment_Rt Cerebellar
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	5d374f4b5f257e6c69d03c52df796e0135012ee6	5d374f4b5f257e6c69d03c52df796e0135012ee6
diagnostics	Image-original	Dimensionality	3D	3D
diagnostics	Image-original	Spacing	(0.9722222089767505, 0.9722222089767504, 2.212962962962961)	(0.9722222089767505, 0.9722222089767504, 2.212962962962961)
diagnostics	Image-original	Size	(288, 288, 109)	(288, 288, 109)
diagnostics	Image-original	Mean	46.90821927384189	46.90821927384189
diagnostics	Image-original	Minimum	0.0	0.0
diagnostics	Image-original	Maximum	1040.0	1040.0
diagnostics	Mask-original	Hash	dd08f37810edc1dcb0f1b25f5886e7e7994d32ab	be46a64e2bc446d07d554a1137d8ec73bd978b2e
diagnostics	Mask-original	Spacing	(0.9722222089767505, 0.9722222089767504, 2.212962962962961)	(0.9722222089767505, 0.9722222089767504, 2.212962962962961)
diagnostics	Mask-original	Size	(288, 288, 109)	(288, 288, 109)
diagnostics	Mask-original	BoundingBox	(184, 181, 71, 27, 37, 7)	(110, 215, 68, 26, 23, 3)
diagnostics	Mask-original	VoxelNum	2727	956
diagnostics	Mask-original	VolumeNum	1	1
diagnostics	Mask-original	CenterOfMassIndex	(200.72460579391273, 201.72533920058672, 73.8932893289329)	(122.8326359832636, 226.09832635983264, 69.38493723849372)
diagnostics	Mask-original	CenterOfMass	(47.18713097101488, 41.82975246123755, 6.6681085307629075)	(-27.444940186081084, 67.00187814846078, -7.196568353680306)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(38, 48, 27)	(37, 34, 19)
diagnostics	Image-interpolated	Mean	143.56000206624523	112.18297664419427
diagnostics	Image-interpolated	Minimum	-96.37281243048248	-91.95148914978145
diagnostics	Image-interpolated	Maximum	380.57868478898183	360.4173992654306
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(38, 48, 27)	(37, 34, 19)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 26, 36, 16)	(6, 6, 6, 25, 22, 7)
diagnostics	Mask-interpolated	VoxelNum	5830	1793
diagnostics	Mask-interpolated	VolumeNum	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(22.131217838765007, 26.121097770154375, 13.127272727272727)	(18.315672058003347, 16.74010039040714, 10.137200223089794)
diagnostics	Mask-interpolated	CenterOfMass	(47.18352499516387, 41.84307858621813, 6.66677381056418)	(-27.534379047631287, 66.94061931489912, -7.225817030346748)
diagnostics	Mask-interpolated	Mean	241.4734225705461	97.48132083594744
diagnostics	Mask-interpolated	Minimum	-63.12622621077983	-39.288742203784146
diagnostics	Mask-interpolated	Maximum	380.57868478898183	347.01925700633177
original	shape	Elongation	0.5890353938034221	0.8302644530102055
original	shape	Flatness	0.45239064543180646	0.2530058019507556
original	shape	LeastAxisLength	15.143455669501355	6.048732889780874
original	shape	MajorAxisLength	33.47429002438134	23.907486876360977
original	shape	Maximum2DDiameterColumn	26.92582403567252	25.179356624028344
original	shape	Maximum2DDiameterRow	33.015148038438355	21.213203435596427
original	shape	Maximum2DDiameterSlice	41.182520563948	26.248809496813376
original	shape	Maximum3DDiameter	41.19465984809196	26.739483914241877
original	shape	MeshVolume	5799.25	1772.5416666666667
original	shape	MinorAxisLength	19.717541606801426	19.849536514250513
original	shape	Sphericity	0.6594215709892162	0.6069618108082316
original	shape	SurfaceArea	2367.2031437814276	1166.9539712893106
original	shape	SurfaceVolumeRatio	0.4081912564178864	0.6583506572704791
original	shape	VoxelVolume	5830.0	1793.0
original	firstorder	10Percentile	147.53884444880063	5.157296381098523
original	firstorder	90Percentile	310.9765975803159	193.79510538991553
original	firstorder	Energy	1737111932.4782653	293078340.38930607
original	firstorder	Entropy	3.308243457934001	3.5135635545584014
original	firstorder	InterquartileRange	101.30090121000671	109.5655145988582
original	firstorder	Kurtosis	3.7986739356582286	2.879874438338482
original	firstorder	Maximum	380.57868478898183	347.01925700633177
original	firstorder	MeanAbsoluteDeviation	56.41056589348436	60.55179431386231
original	firstorder	Mean	241.4734225705461	97.48132083594744
original	firstorder	Median	257.46634420321215	96.09927009355059
original	firstorder	Minimum	-63.12622621077983	-39.288742203784146
original	firstorder	Range	443.70491099976164	386.3079992101159
original	firstorder	RobustMeanAbsoluteDeviation	41.498435082074565	44.78202242145447
original	firstorder	RootMeanSquared	545.8579305611285	404.29811549886307
original	firstorder	Skewness	-0.9730762177531509	0.501291911995735
original	firstorder	TotalEnergy	1737111932.4782653	293078340.38930607
original	firstorder	Uniformity	0.12310430758276968	0.09860836387649932
original	firstorder	Variance	4767.413006216561	5465.5657824425925
original	glcm	Autocorrelation	183.69783831467595	45.492559854849304
original	glcm	JointAverage	13.38616755347973	6.177223732375014
original	glcm	ClusterProminence	2399.0764048494857	2775.4683969625785
original	glcm	ClusterShade	-125.58044893309686	85.61300349630493
original	glcm	ClusterTendency	23.470081962777687	32.300047556167016
original	glcm	Contrast	5.461664732805419	2.981069839849132
original	glcm	Correlation	0.620577565195532	0.8308196562607583
original	glcm	DifferenceAverage	1.6345683343080202	1.2672153825371326
original	glcm	DifferenceEntropy	2.4052088086699586	2.047694524826458
original	glcm	DifferenceVariance	2.6883534957950044	1.3280146335981289
original	glcm	JointEnergy	0.027602414998381484	0.021098591699584203
original	glcm	JointEntropy	6.0312292248161805	6.050280792293423
original	glcm	Imc1	-0.1331364663339346	-0.26915145893017506
original	glcm	Imc2	0.727276354302661	0.9146532715688156
original	glcm	Idm	0.4772498751650628	0.5206376725308053
original	glcm	Idmn	0.9858967739675075	0.9888555113075944
original	glcm	Id	0.5314178330023714	0.5665588762047963
