Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_48_segment_Lt Med Cerebellar	1: RTSTRUCT: ANON_48_segment_Lt Lat Cerebellar
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	77de032404f32f42da8b655314bfdf5b98682513	77de032404f32f42da8b655314bfdf5b98682513
diagnostics	Image-original	Dimensionality	3D	3D
diagnostics	Image-original	Spacing	(1.0156249999999996, 1.015625, 1.0000000000000082)	(1.0156249999999996, 1.015625, 1.0000000000000082)
diagnostics	Image-original	Size	(256, 256, 240)	(256, 256, 240)
diagnostics	Image-original	Mean	125.5346202214559	125.5346202214559
diagnostics	Image-original	Minimum	0.0	0.0
diagnostics	Image-original	Maximum	2028.0	2028.0
diagnostics	Mask-original	Hash	de7821dec360b52e4347e09d818e85cf85a153f8	d18c93c3b94794671a17eb7b1273c71bc733eed9
diagnostics	Mask-original	Spacing	(1.0156249999999996, 1.015625, 1.0000000000000082)	(1.0156249999999996, 1.015625, 1.0000000000000082)
diagnostics	Mask-original	Size	(256, 256, 240)	(256, 256, 240)
diagnostics	Mask-original	BoundingBox	(139, 186, 93, 7, 9, 6)	(150, 192, 93, 6, 8, 9)
diagnostics	Mask-original	VoxelNum	146	184
diagnostics	Mask-original	VolumeNum	1	1
diagnostics	Mask-original	CenterOfMassIndex	(141.31506849315068, 190.05479452054794, 95.93150684931507)	(152.6413043478261, 195.44021739130434, 97.03804347826087)
diagnostics	Mask-original	CenterOfMass	(19.586191481618926, 63.64732214440451, -12.650964646675362)	(31.363719950978066, 67.83042667819072, -9.957290390600548)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(19, 21, 18)	(18, 20, 21)
diagnostics	Image-interpolated	Mean	67.84940140529783	105.10193072184357
diagnostics	Image-interpolated	Minimum	-26.522354947391626	-52.733157639202744
diagnostics	Image-interpolated	Maximum	280.4321349056287	324.15750444599377
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(19, 21, 18)	(18, 20, 21)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 7, 9, 6)	(6, 6, 6, 6, 8, 9)
diagnostics	Mask-interpolated	VoxelNum	146	184
diagnostics	Mask-interpolated	VolumeNum	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(8.315068493150685, 10.054794520547945, 8.931506849315069)	(8.641304347826088, 9.440217391304348, 10.03804347826087)
diagnostics	Mask-interpolated	CenterOfMass	(19.37290432840031, 63.68715255671792, -12.656235040336451)	(30.968207931783766, 67.80257981047129, -9.98733745739581)
diagnostics	Mask-interpolated	Mean	156.84172048075317	199.1149758837383
diagnostics	Mask-interpolated	Minimum	47.07215884317139	93.43138061081115
diagnostics	Mask-interpolated	Maximum	255.60918378055794	305.89594016067934
original	shape	Elongation	0.6678762453842922	0.718949700803716
original	shape	Flatness	0.5061303760916379	0.6105948860517638
original	shape	LeastAxisLength	4.47154179950584	5.127344420528798
original	shape	MajorAxisLength	8.834762762186479	8.397293422621495
original	shape	Maximum2DDiameterColumn	7.615773105863909	9.219544457292887
original	shape	Maximum2DDiameterRow	9.486832980505138	9.486832980505138
original	shape	Maximum2DDiameterSlice	8.54400374531753	8.06225774829855
original	shape	Maximum3DDiameter	9.695359714832659	9.539392014169456
original	shape	MeshVolume	136.25	175.625
original	shape	MinorAxisLength	5.9005281824700635	6.037231593754736
original	shape	Sphericity	0.7726630566930585	0.8362034111854135
original	shape	SurfaceArea	165.72383852511499	181.36900945826835
original	shape	SurfaceVolumeRatio	1.2163217506430457	1.032706103676973
original	shape	VoxelVolume	146.0	184.0
original	firstorder	10Percentile	104.69396745458339	130.7871971175317
original	firstorder	90Percentile	222.61247384556802	257.24001397462956
original	firstorder	Energy	30758050.754861817	46314916.63621816
original	firstorder	Entropy	2.838969848835189	3.031631926812771
original	firstorder	InterquartileRange	67.9773666973177	81.16698174258946
original	firstorder	Kurtosis	2.311628863489418	2.1345294823077996
original	firstorder	Maximum	255.60918378055794	305.89594016067934
original	firstorder	MeanAbsoluteDeviation	36.97516699861028	43.284005411107316
original	firstorder	Mean	156.84172048075317	199.1149758837383
original	firstorder	Median	151.64706346804203	202.80267103444038
original	firstorder	Minimum	47.07215884317139	93.43138061081115
original	firstorder	Range	208.53702493738655	212.4645595498682
original	firstorder	RobustMeanAbsoluteDeviation	27.615280295691495	32.83018130499376
original	firstorder	RootMeanSquared	458.9897390059523	501.7085841977466
original	firstorder	Skewness	0.16166745181835987	-0.15433166629153655
original	firstorder	TotalEnergy	30758050.754861817	46314916.63621816
original	firstorder	Uniformity	0.1594107712516419	0.1349243856332703
original	firstorder	Variance	1967.2229409375348	2595.744306282685
original	glcm	Autocorrelation	39.13197830743103	36.25782890071488
original	glcm	JointAverage	6.198332703957211	5.905105322770728
original	glcm	ClusterProminence	166.66269245569717	287.20223973468455
original	glcm	ClusterShade	-0.9076230162849307	-9.080720156263457
original	glcm	ClusterTendency	8.154368628950312	10.836295857918143
original	glcm	Contrast	5.338816214536454	5.291625020815429
original	glcm	Correlation	0.21302061453994106	0.34720838923476394
original	glcm	DifferenceAverage	1.8317445195368172	1.7828015000103128
original	glcm	DifferenceEntropy	2.281141883155447	2.373402252631228
original	glcm	DifferenceVariance	1.777362927062284	2.043870189594194
original	glcm	JointEnergy	0.030207566176929893	0.028126376006777663
original	glcm	JointEntropy	5.303364302076859	5.560446502366653
original	glcm	Imc1	-0.14035503137462843	-0.11865614337123306
original	glcm	Imc2	0.7301930959010421	0.699852498605585
original	glcm	Idm	0.3916041776830773	0.4153186021492743
original	glcm	Idmn	0.9531878762193101	0.9537131389057415
original	glcm	Id	0.46329961814125026	0.4831197319619843
original	glcm	Idn	0.8565052058777884	0.8608957720212683
