Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_50_segment_Rt Ventricle	1: RTSTRUCT: ANON_50_segment_Lt Ventricle	1: RTSTRUCT: ANON_50_segment_Vermis	1: RTSTRUCT: ANON_50_segment_Lt Post Cerebellum	1: RTSTRUCT: ANON_50_segment_Rt Cerebellum
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	66d5b99f4aa77e2cef5841af011ce5987bead8ec	66d5b99f4aa77e2cef5841af011ce5987bead8ec	66d5b99f4aa77e2cef5841af011ce5987bead8ec	66d5b99f4aa77e2cef5841af011ce5987bead8ec	66d5b99f4aa77e2cef5841af011ce5987bead8ec
diagnostics	Image-original	Dimensionality	3D	3D	3D	3D	3D
diagnostics	Image-original	Spacing	(1.09375, 1.09375, 0.9999999999999948)	(1.09375, 1.09375, 0.9999999999999948)	(1.09375, 1.09375, 0.9999999999999948)	(1.09375, 1.09375, 0.9999999999999948)	(1.09375, 1.09375, 0.9999999999999948)
diagnostics	Image-original	Size	(256, 256, 192)	(256, 256, 192)	(256, 256, 192)	(256, 256, 192)	(256, 256, 192)
diagnostics	Image-original	Mean	43.14566238721212	43.14566238721212	43.14566238721212	43.14566238721212	43.14566238721212
diagnostics	Image-original	Minimum	0.0	0.0	0.0	0.0	0.0
diagnostics	Image-original	Maximum	1127.0	1127.0	1127.0	1127.0	1127.0
diagnostics	Mask-original	Hash	432cff1cff5ad0663aeb5736e8142fc3336b2b2c	c498cb185620fae6db7427224886351703776f89	16539c4acc8a1bd6859fc33c9ab908edc7a7f98b	770aba5ea607554a4be72c77b9ecf25c87f81a97	caf7ed2a1eca63b3bd6690acbf9a505086e81e8c
diagnostics	Mask-original	Spacing	(1.09375, 1.09375, 0.9999999999999948)	(1.09375, 1.09375, 0.9999999999999948)	(1.09375, 1.09375, 0.9999999999999948)	(1.09375, 1.09375, 0.9999999999999948)	(1.09375, 1.09375, 0.9999999999999948)
diagnostics	Mask-original	Size	(256, 256, 192)	(256, 256, 192)	(256, 256, 192)	(256, 256, 192)	(256, 256, 192)
diagnostics	Mask-original	BoundingBox	(114, 120, 121, 3, 2, 5)	(145, 147, 121, 4, 4, 5)	(125, 179, 60, 4, 4, 6)	(140, 200, 61, 3, 3, 5)	(114, 187, 51, 2, 2, 3)
diagnostics	Mask-original	VoxelNum	21	36	56	18	8
diagnostics	Mask-original	VolumeNum	1	1	1	1	1
diagnostics	Mask-original	CenterOfMassIndex	(114.71428571428571, 120.52380952380952, 122.76190476190476)	(146.02777777777777, 148.30555555555554, 122.88888888888889)	(126.46428571428571, 180.16071428571428, 62.714285714285715)	(141.33333333333334, 200.94444444444446, 62.77777777777778)	(114.5, 187.375, 51.75)
diagnostics	Mask-original	CenterOfMass	(-14.531250001672689, 19.811463041102655, 81.13723445009512)	(19.717881949004067, 50.19774775630029, 81.26421857707925)	(-1.6796874882942632, 85.03932762180008, 21.08961540247639)	(14.583333349701519, 107.77153247957563, 21.153107465968453)	(-14.76562498667586, 92.92995262448406, 10.125329688190732)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(15, 14, 17)	(16, 16, 17)	(16, 16, 18)	(15, 15, 17)	(14, 15, 15)
diagnostics	Image-interpolated	Mean	121.71586253320218	113.81991560903933	119.52357538451396	106.18773128556606	123.31003605310588
diagnostics	Image-interpolated	Minimum	-14.118995947305567	-19.535977094306194	-8.261597918561689	-44.557134071983285	-27.438265389821535
diagnostics	Image-interpolated	Maximum	239.80660064006324	289.539019671061	273.16631148565847	331.9162363329663	303.0453256589885
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(15, 14, 17)	(16, 16, 17)	(16, 16, 18)	(15, 15, 17)	(14, 15, 15)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 3, 2, 5)	(6, 6, 6, 4, 4, 5)	(6, 6, 6, 4, 4, 6)	(6, 6, 6, 3, 3, 5)	(6, 7, 6, 2, 2, 3)
diagnostics	Mask-interpolated	VoxelNum	21	36	56	18	8
diagnostics	Mask-interpolated	VolumeNum	1	1	1	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(6.714285714285714, 6.523809523809524, 7.761904761904762)	(7.027777777777778, 7.305555555555555, 7.888888888888889)	(7.464285714285714, 7.160714285714286, 8.714285714285714)	(7.333333333333333, 6.944444444444445, 7.777777777777778)	(6.5, 7.375, 6.75)
diagnostics	Mask-interpolated	CenterOfMass	(-14.332589287457928, 19.465480898204778, 81.13723445009576)	(19.980902782347535, 50.247226922913, 81.26421857707989)	(-1.5825892739955965, 85.10238565749447, 21.089615402476717)	(14.286458349725015, 107.88611581296982, 21.15310746596878)	(-14.546874986596546, 93.3166713744392, 10.125329688191002)
diagnostics	Mask-interpolated	Mean	198.21461189576945	211.72588637930565	192.10318359709026	202.9842351268966	177.6338546599223
diagnostics	Mask-interpolated	Minimum	161.96648229571284	152.5741846015554	133.1001685500978	160.4505138955142	154.8402302589274
diagnostics	Mask-interpolated	Maximum	239.80660064006324	289.539019671061	244.38278191359697	241.6317686230546	207.79787248780772
original	shape	Elongation	0.569274699666675	0.851146359316203	0.761302068496874	0.6065693198691571	0.6991115951820531
original	shape	Flatness	0.38927519905600577	0.790002328121908	0.672883225960794	0.5606673872877593	0.5599415130324866
original	shape	LeastAxisLength	1.9244427529398132	3.2993151068228457	3.576083838930264	2.378343715586708	1.6018659020715407
original	shape	MajorAxisLength	4.943656204162495	4.176335928865411	5.314568265279698	4.241986906161954	2.8607736072224452
original	shape	Maximum2DDiameterColumn	5.0990195135927845	5.0	6.324555320336759	5.0990195135927845	3.1622776601683795
original	shape	Maximum2DDiameterRow	5.0990195135927845	5.0990195135927845	6.082762530298219	5.0	3.0
original	shape	Maximum2DDiameterSlice	3.1622776601683795	4.47213595499958	4.47213595499958	3.1622776601683795	2.23606797749979
original	shape	Maximum3DDiameter	5.196152422706632	5.0990195135927845	6.4031242374328485	5.0990195135927845	3.3166247903554
original	shape	MeshVolume	17.416666666666668	31.125	50.916666666666664	14.583333333333334	5.666666666666667
original	shape	MinorAxisLength	2.814298400879899	3.5546731211352474	4.045991813525277	2.573059112564527	1.9999999999999998
original	shape	Sphericity	0.8374052485618447	0.8786342079861532	0.8898848282164025	0.8134066525560179	0.8740952832123313
original	shape	SurfaceArea	38.802389661575354	54.460579326314296	74.65466737591544	35.487952204731556	17.585057479767883
original	shape	SurfaceVolumeRatio	2.227888401621551	1.74973748839564	1.4662127798870463	2.4334595797530207	3.103245437606097
original	shape	VoxelVolume	21.0	36.0	56.0	18.0	8.0
original	firstorder	10Percentile	172.7505050861526	166.19194017541002	148.1356939276223	179.35432957274352	155.72170394964596
original	firstorder	90Percentile	235.30113886750104	257.48191603517466	233.04877936951124	233.41407410061174	206.2585934352995
original	firstorder	Energy	5223790.753998269	9472617.85469818	13617760.619776607	4563068.5795562435	1827939.6126231977
original	firstorder	Entropy	1.8909209935891962	2.4037080868458127	2.2717878137963217	1.8365916681089778	1.4999999999999991
original	firstorder	InterquartileRange	31.170101314865036	57.2189028085657	54.94878973737991	32.16563756351405	25.053415890509257
original	firstorder	Kurtosis	2.089187367507806	2.1045035259781932	1.8587445364687174	2.1339655229558283	1.895130960261174
original	firstorder	Maximum	239.80660064006324	289.539019671061	244.38278191359697	241.6317686230546	207.79787248780772
original	firstorder	MeanAbsoluteDeviation	18.86597866257576	30.422221194291282	27.601239082225185	19.32040607995515	15.723684201525138
original	firstorder	Mean	198.21461189576945	211.72588637930565	192.10318359709026	202.9842351268966	177.6338546599223
original	firstorder	Median	198.08915882058506	205.27772552417164	197.93172907060398	197.25491820758253	174.42002423669163
original	firstorder	Minimum	161.96648229571284	152.5741846015554	133.1001685500978	160.4505138955142	154.8402302589274
original	firstorder	Range	77.8401183443504	136.9648350695056	111.28261336349917	81.18125472754039	52.95764222888033
original	firstorder	RobustMeanAbsoluteDeviation	14.538133811764238	22.816638323189498	21.398020342927534	14.148705324195479	11.729172262392884
original	firstorder	RootMeanSquared	498.75037911422606	512.960304255228	493.1270594701989	503.49161857507306	478.00884048090546
original	firstorder	Skewness	0.323543702800078	0.19732280824955514	-0.16029711386149176	0.060164885463556375	0.474133907298486
original	firstorder	TotalEnergy	5223790.753998269	9472617.85469818	13617760.619776607	4563068.5795562435	1827939.6126231977
original	firstorder	Uniformity	0.2925170068027211	0.20524691358024694	0.21237244897959184	0.30864197530864196	0.375
original	firstorder	Variance	534.1411601320381	1264.8909509300124	1008.7534753335449	510.66918915766166	358.3524606039446
original	glcm	Autocorrelation	7.00940170940171	11.919221650974551	12.77349094145955	7.438858363858364	3.013888888888889
original	glcm	JointAverage	2.632051282051282	3.428471346401211	3.5204544678263336	2.722598235098235	1.784722222222222
original	glcm	ClusterProminence	8.725317720094266	52.75259187932292	33.43412155721518	5.541462856331483	1.7444058641975309
original	glcm	ClusterShade	0.03331054131054217	-2.462299977436068	-2.745169588133213	-0.38666052885941793	-0.1929012345679011
original	glcm	ClusterTendency	1.974596391263058	4.783387312172748	3.8520865572062806	1.60303139050704	0.6828703703703703
original	glcm	Contrast	1.7384615384615385	4.183435053044536	2.3497432351016276	1.6667582417582416	1.7222222222222223
original	glcm	Correlation	0.05399782356334139	0.0726818365299675	0.2414147162340893	-0.017565976202257198	-0.5317833507488676
original	glcm	DifferenceAverage	1.0564102564102564	1.631899793541541	1.2077690966087826	1.0250333000333	1.097222222222222
original	glcm	DifferenceEntropy	1.267517428325942	2.0736654142270265	1.7643493483033683	1.4046729053128233	0.5836048612313033
original	glcm	DifferenceVariance	0.5324786324786326	1.4746488984280726	0.8330875312977886	0.5539705091084961	0.30324074074074076
original	glcm	JointEnergy	0.14338556505223174	0.05933384825576696	0.0724040271152804	0.17896157819453273	0.37934027777777773
original	glcm	JointEntropy	2.919364340184596	4.257414039412658	4.020928811573964	2.6868423188297355	1.5004072918469546
original	glcm	Imc1	-0.37768196903334006	-0.24907462024599963	-0.15879718082301422	-0.3655759622080353	-0.722490843005367
original	glcm	Imc2	0.8212447916846759	0.8270189122888731	0.6724665636809806	0.7908020528796189	0.8489178635257733
original	glcm	Idm	0.5399999999999999	0.4216512556370039	0.5096122378992939	0.5516558441558442	0.5138888888888888
original	glcm	Idmn	0.9126515837104072	0.9082906091501329	0.9229156630041222	0.9145386965975201	0.8566239316239317
original	glcm	Id	0.5741452991452991	0.49224756472715353	0.5560693854409869	0.589484126984127	0.5555555555555556
original	glcm	Idn	0.8101587301587301	0.8061984672147399	0.8236938520582394	0.8158180708180708	0.7569444444444445
