Image type	Feature Class	Feature Name	RTSTRUCT: ANON_6_segment_Lt flax frontal071720	RTSTRUCT: ANON_6_segment_Rt ant frontal071720	RTSTRUCT: ANON_6_segment_Lt occipital 071720	RTSTRUCT: ANON_6_segment_Ltlat pcerebellar 071720	RTSTRUCT: ANON_6_segment_Lt temporal071720
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4	1.23.4	1.23.4	1.23.4	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1	1.4.1	1.4.1	1.4.1	1.4.1
diagnostics	Versions	Python	3.9.10	3.9.10	3.9.10	3.9.10	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	0bc3965e3fe12eb0064a94d46fbee6de92f8197c	0bc3965e3fe12eb0064a94d46fbee6de92f8197c	0bc3965e3fe12eb0064a94d46fbee6de92f8197c	0bc3965e3fe12eb0064a94d46fbee6de92f8197c	0bc3965e3fe12eb0064a94d46fbee6de92f8197c
diagnostics	Image-original	Dimensionality	3D	3D	3D	3D	3D
diagnostics	Image-original	Spacing	(0.5468749999999999, 0.5468749999999999, 0.9999999999999893)	(0.5468749999999999, 0.5468749999999999, 0.9999999999999893)	(0.5468749999999999, 0.5468749999999999, 0.9999999999999893)	(0.5468749999999999, 0.5468749999999999, 0.9999999999999893)	(0.5468749999999999, 0.5468749999999999, 0.9999999999999893)
diagnostics	Image-original	Size	(512, 512, 192)	(512, 512, 192)	(512, 512, 192)	(512, 512, 192)	(512, 512, 192)
diagnostics	Image-original	Mean	86.65301301081975	86.65301301081975	86.65301301081975	86.65301301081975	86.65301301081975
diagnostics	Image-original	Minimum	0.0	0.0	0.0	0.0	0.0
diagnostics	Image-original	Maximum	1883.0	1883.0	1883.0	1883.0	1883.0
diagnostics	Mask-original	Hash	61e07d754cf6189b31c2030bce5831669c3ffbe4	41d2c358d50bb114ca8a3655346fd04296f3eb0f	1ae75ea1b5dbcb65c7466eb0a99d2b51eae1f0aa	956bb4f7f48aabbdc2188982b202925cea870e48	3042cedf7be78a88c0bdc383027de3d9de79073a
diagnostics	Mask-original	Spacing	(0.5468749999999999, 0.5468749999999999, 0.9999999999999893)	(0.5468749999999999, 0.5468749999999999, 0.9999999999999893)	(0.5468749999999999, 0.5468749999999999, 0.9999999999999893)	(0.5468749999999999, 0.5468749999999999, 0.9999999999999893)	(0.5468749999999999, 0.5468749999999999, 0.9999999999999893)
diagnostics	Mask-original	Size	(512, 512, 192)	(512, 512, 192)	(512, 512, 192)	(512, 512, 192)	(512, 512, 192)
diagnostics	Mask-original	BoundingBox	(260, 182, 138, 12, 12, 7)	(188, 164, 95, 10, 11, 5)	(368, 331, 76, 11, 11, 5)	(302, 374, 60, 9, 9, 5)	(350, 305, 65, 5, 5, 3)
diagnostics	Mask-original	VoxelNum	441	271	381	158	42
diagnostics	Mask-original	VolumeNum	1	1	1	1	1
diagnostics	Mask-original	CenterOfMassIndex	(265.17233560090705, 187.5374149659864, 140.79138321995464)	(192.39852398523985, 169.05166051660515, 97.03321033210332)	(373.11811023622045, 336.01312335958005, 77.93700787401575)	(306.2974683544304, 377.8987341772152, 61.9873417721519)	(351.95238095238096, 306.95238095238096, 66.0)
diagnostics	Mask-original	CenterOfMass	(-5.222306130236177, -63.116200219996, 68.40438218235516)	(-45.02048435750467, -73.22559718469624, 24.646209294504317)	(53.81053937305319, 18.081452808039586, 5.550006836416955)	(17.268000843837086, 40.987646223754865, -10.39965926544673)	(42.23553117103131, 2.188859304045934, -6.387001037598679)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(19, 18, 19)	(18, 18, 17)	(18, 18, 17)	(17, 17, 17)	(14, 15, 15)
diagnostics	Image-interpolated	Mean	64.08057733114298	114.07707960667234	118.28783846967387	150.5500444929216	120.87099422125048
diagnostics	Image-interpolated	Minimum	-50.6904594491208	-42.48438801187761	-47.48585318410467	36.59923196460647	-50.877531698582054
diagnostics	Image-interpolated	Maximum	312.99930208015627	302.04227419583907	301.6017911673083	302.9882231580259	309.18565822016984
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(19, 18, 19)	(18, 18, 17)	(18, 18, 17)	(17, 17, 17)	(14, 15, 15)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 7, 6, 7)	(6, 6, 6, 5, 6, 5)	(6, 6, 6, 6, 6, 5)	(6, 6, 6, 5, 4, 5)	(5, 6, 6, 3, 3, 3)
diagnostics	Mask-interpolated	VoxelNum	129	86	111	45	17
diagnostics	Mask-interpolated	VolumeNum	1	1	1	1	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(8.767441860465116, 8.457364341085272, 8.767441860465116)	(7.965116279069767, 8.186046511627907, 8.046511627906977)	(8.81081081081081, 8.54054054054054, 7.981981981981982)	(8.377777777777778, 7.511111111111111, 8.044444444444444)	(6.235294117647059, 6.764705882352941, 7.0)
diagnostics	Mask-interpolated	CenterOfMass	(-5.244422801517688, -62.991797188434624, 68.38044082286714)	(-45.04674838286275, -73.26311501808689, 24.659510590309008)	(53.79894614843094, 18.091379011309776, 5.594980944384013)	(17.36591311528543, 41.06194958170193, -10.342556593153517)	(42.223429455344416, 2.315544353065456, -6.387001037597962)
diagnostics	Mask-interpolated	Mean	162.10434259643372	190.52774096430946	225.32208515133516	218.702479270609	223.8467722986596
diagnostics	Mask-interpolated	Minimum	56.70429486221089	108.05812852594445	106.58601853072444	143.67828764756132	183.35266589399268
diagnostics	Mask-interpolated	Maximum	246.00563844484734	296.5315072152488	301.6017911673083	302.9882231580259	289.81862918158697
original	shape	Elongation	0.898512830691749	0.9686626188802925	0.9556548652830463	0.9449038310818084	0.8892118276421005
original	shape	Flatness	0.8334865537442574	0.8973020572149546	0.8561854611297143	0.824887306454655	0.8892118276421004
original	shape	LeastAxisLength	5.189655098078726	4.601149945402909	4.864184141640965	3.5458835751391775	2.7439773622801416
original	shape	MajorAxisLength	6.226441296221669	5.127760388384659	5.681227213579172	4.298627882127676	3.085853423200942
original	shape	Maximum2DDiameterColumn	7.211102550927978	5.385164807134504	6.708203932499369	5.0990195135927845	3.1622776601683795
original	shape	Maximum2DDiameterRow	7.0710678118654755	6.082762530298219	6.324555320336759	5.0990195135927845	3.1622776601683795
original	shape	Maximum2DDiameterSlice	7.211102550927978	6.4031242374328485	6.708203932499369	5.385164807134504	3.605551275463989
original	shape	Maximum3DDiameter	7.483314773547883	6.48074069840786	6.782329983125268	5.385164807134504	3.7416573867739413
original	shape	MeshVolume	122.45833333333333	80.25	105.33333333333333	40.666666666666664	13.75
original	shape	MinorAxisLength	5.594537394204135	4.96706980680331	5.42929242743538	4.061789954217522	2.7439773622801416
original	shape	Sphericity	0.8689496172149229	0.9142972506858715	0.9292894375656975	0.8952578600359489	0.8815664751767032
original	shape	SurfaceArea	137.24033131307075	98.40716898472618	116.06742302257048	63.8795280922859	31.48455241637953
original	shape	SurfaceVolumeRatio	1.1207104292322894	1.2262575574420709	1.101905914771239	1.570808067843096	2.2897856302821475
original	shape	VoxelVolume	129.0	86.0	111.0	45.0	17.0
original	firstorder	10Percentile	99.81884857403399	138.3653701896752	165.53835652221986	173.71200630830438	193.6114467815508
original	firstorder	90Percentile	228.53582858694597	260.9325561222266	296.91676537741165	271.56205337586397	276.45152765769336
original	firstorder	Energy	27839092.969399594	20889306.997463983	30890974.470650174	12173871.443197466	4682441.861191041
original	firstorder	Entropy	2.8733680918404025	2.787755626231217	2.877756524972753	2.6777410663560053	2.107963755697207
original	firstorder	InterquartileRange	72.50411479150016	73.4630364000898	82.43780508860587	42.18528209864621	27.135341628682028
original	firstorder	Kurtosis	2.1043851425311932	2.283500119975964	2.047979500345194	2.75885845401969	2.5344664005078927
original	firstorder	Maximum	246.00563844484734	296.5315072152488	301.6017911673083	302.9882231580259	289.81862918158697
original	firstorder	MeanAbsoluteDeviation	40.18970016527194	40.349536821783026	40.84130353369347	30.015563638893806	25.375839368667183
original	firstorder	Mean	162.10434259643372	190.52774096430946	225.32208515133516	218.702479270609	223.8467722986596
original	firstorder	Median	162.69861491940702	177.25304054048544	224.90698235399287	219.92764780873517	215.08549755866764
original	firstorder	Minimum	56.70429486221089	108.05812852594445	106.58601853072444	143.67828764756132	183.35266589399268
original	firstorder	Range	189.30134358263643	188.47337868930433	195.01577263658385	159.30993551046458	106.46596328759429
original	firstorder	RobustMeanAbsoluteDeviation	30.679034095317036	29.791494474778627	32.157518375398105	18.963735329158506	16.695612421676667
original	firstorder	RootMeanSquared	464.5502365120566	492.8477640967468	527.5386879681478	520.1254430572487	524.8216425993211
original	firstorder	Skewness	-0.13113979258035477	0.5636556479214294	-0.040037829570028834	0.1918881487388254	0.8897482695950208
original	firstorder	TotalEnergy	27839092.969399594	20889306.997463983	30890974.470650174	12173871.443197466	4682441.861191041
original	firstorder	Uniformity	0.1430803437293432	0.16089778258518117	0.14682249817384954	0.18123456790123454	0.2664359861591695
original	firstorder	Variance	2266.4987969255	2281.453919613909	2333.7741554080662	1478.214514022642	1022.315692925716
original	glcm	Autocorrelation	31.813070424951945	23.200225505124028	37.116744076625544	21.93199196056048	7.378205128205129
original	glcm	JointAverage	5.52454634694035	4.723771348634169	6.009939619965106	4.652450345774721	2.758974358974359
original	glcm	ClusterProminence	198.03084136773245	215.9592209288629	213.27316740161925	112.73386108728437	20.442961217948714
original	glcm	ClusterShade	-6.182371382650363	5.037730266410137	-11.010272705938974	-3.428605158851453	1.0029031339031353
original	glcm	ClusterTendency	9.362943523947166	9.716551285587757	9.260042691072355	6.1661684287854195	2.9708974358974354
original	glcm	Contrast	4.227468939568107	6.201923933913255	5.282713616257998	5.0677126824674605	4.151282051282052
original	glcm	Correlation	0.37571657245652423	0.2261380003963128	0.27785359363424855	0.10093880055700767	-0.1773322898663734
original	glcm	DifferenceAverage	1.625418003953179	1.9825541467431829	1.780352877872024	1.7991933087634124	1.7179487179487178
original	glcm	DifferenceEntropy	2.1934027258663003	2.4213835641727366	2.356111799304696	2.1425740734123857	1.4618117055918822
original	glcm	DifferenceVariance	1.5007691772868106	2.2038445952253807	2.013829185756319	1.7131977444532647	1.0365384615384614
original	glcm	JointEnergy	0.033764141285670006	0.031118575587100114	0.03530313678428816	0.049475768285951634	0.13395299145299147
original	glcm	JointEntropy	5.146914169695861	5.209466276151015	5.172906756952135	4.559023130869357	3.004256305153333
original	glcm	Imc1	-0.13914833208360328	-0.16542481119439703	-0.14616506382118674	-0.31768469900223456	-0.5870127386522529
original	glcm	Imc2	0.7146750868451961	0.7758610959920473	0.740457359371091	0.9021793000545718	0.9550537019919314
original	glcm	Idm	0.4259645787380715	0.3722534825702212	0.42075866392959704	0.3919353747351079	0.37675716440422324
original	glcm	Idmn	0.9434061238589403	0.9215818188745553	0.9440293349719096	0.9338394816177872	0.8736364181038018
