Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_52_segment_Recur Occipit tentorial
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.4.1
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 100, 'removeOutliers': 3, 'resampledPixelSpacing': [1, 1, 1], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'voxelArrayShift': 300, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Exponential': {}, 'Square': {}, 'SquareRoot': {}, 'Logarithm': {}, 'Gradient': {}, 'LBP2D': {}, 'LBP3D': {}, 'LoG': {'sigma': [1.0, 2.0, 3.0, 4.0, 5.0]}, 'Wavelet': {}}
diagnostics	Image-original	Hash	ecb9b50e069661a3e1a9e2b92e89530df4536da6
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(1.015625, 1.015625, 0.9999999999999883)
diagnostics	Image-original	Size	(256, 256, 240)
diagnostics	Image-original	Mean	77.13006159464518
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1304.0
diagnostics	Mask-original	Hash	6d897cf07d008f61410fe269634cc9758378ea3e
diagnostics	Mask-original	Spacing	(1.015625, 1.015625, 0.9999999999999883)
diagnostics	Mask-original	Size	(256, 256, 240)
diagnostics	Mask-original	BoundingBox	(129, 162, 95, 21, 24, 20)
diagnostics	Mask-original	VoxelNum	2502
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(139.1466826538769, 174.07434052757793, 104.5595523581135)
diagnostics	Mask-original	CenterOfMass	(16.353410529926975, 46.32428364065683, 15.39834771784632)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(33, 36, 32)
diagnostics	Image-interpolated	Mean	53.21971849365256
diagnostics	Image-interpolated	Minimum	-54.418643242786416
diagnostics	Image-interpolated	Maximum	263.3888945085015
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(33, 36, 32)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 21, 24, 20)
diagnostics	Mask-interpolated	VoxelNum	2502
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(16.146682653876898, 18.074340527577938, 15.559552358113509)
diagnostics	Mask-interpolated	CenterOfMass	(16.16223676926139, 46.582505008958336, 15.461790667459596)
diagnostics	Mask-interpolated	Mean	106.57476969141372
diagnostics	Mask-interpolated	Minimum	10.466232372815732
diagnostics	Mask-interpolated	Maximum	223.8359420538362
original	shape	Elongation	0.8684709514399321
original	shape	Flatness	0.4957295600820993
original	shape	LeastAxisLength	11.151981263217525
original	shape	MajorAxisLength	22.49609900480942
original	shape	Maximum2DDiameterColumn	25.612496949731394
original	shape	Maximum2DDiameterRow	23.194827009486403
original	shape	Maximum2DDiameterSlice	24.515301344262525
original	shape	Maximum3DDiameter	28.0
original	shape	MeshVolume	2475.4166666666665
original	shape	MinorAxisLength	19.537208506393746
